,attributevalue,count,normalized_attributevalue,synonyms
597,Tights,34,tights style,"[('Hosiery', 0.634), ('Pantyhose', 0.576), ('Leggings', 0.572), ('Stockings', 0.545)]"
598,Cylindrical Heels,34,cylindrical heels style,"[('Cylindrical Shoe Design', 0.817), ('Cylinder Heel Design', 0.736), ('Cylindrical High Heel', 0.729), ('Cone Heel Style', 0.681)]"
599,Combo Sets,34,combo sets style,"[('Put-Together Looks ', 0.574), ('Coordinated Outfits ', 0.484), ('Matching Ensembles ', 0.422), ('Harmonious Apparel ', 0.359)]"
600,Creams & Moisturisers,34,creams moisturisers style,"[('Balms, Beautifiers, and Aesthetics', 0.568), ('Ointments, Refreshers, and Design', 0.552), ('Hydrators, Enhancers, and Grooming', 0.528), ('Lotions, Conditioners, and Finishes', 0.514)]"
601,Sports Gloves,34,sports gloves style,"[('Game Gloves', 0.703), ('Exercise Gauntlets', 0.593), ('Sporting Mitts', 0.541), ('Athletic Handwear', 0.507)]"
602,Serums & Creams,34,serums creams style,[]
603,Heeled shoes,33,heeled shoes style,"[('High-heeled footwear', 0.667), ('Stilettos', 0.624), ('Pumps', 0.566), ('Platforms', 0.414)]"
604,Liners,33,liners style,"[('Garb', 0.58), ('Costume', 0.531), ('Outfit', 0.517), ('Attire', 0.498)]"
605,Contour Mats,33,contour mats style,"[('Profile Mats Design', 0.746), ('Outline Mats Design', 0.739), ('Edge Mats Design', 0.737), ('Silhouette Mats Design', 0.722)]"
606,Garter & Suspender Belts,33,garter suspender belts style,"[('Suspender Garters', 0.796), ('Garter Straps', 0.745), ('Garter Belts', 0.736), ('Suspender Straps', 0.681)]"
607,Nehru,32,nehru style,"[('Nehru look', 0.819), ('Nehruvian', 0.789), ('Nehru-inspired', 0.775), ('Nehru chic', 0.744)]"
608,Festive Dcor,32,festive dcor style,"[('Celebratory fashion', 0.605), ('Glitzy ensemble', 0.564), ('Partywear', 0.441), ('Glamorous look', 0.436)]"
609,Screw,32,screw style,"[('Twist Style', 0.635), ('Spiral Style', 0.578), ('Turn Style', 0.547), ('Fastener Style', 0.458)]"
610,Bolsters,32,bolsters style,"[('Refines style', 0.781), ('Elevates appearance', 0.567), ('Uplifts look', 0.557), ('Enhances fashion', 0.485)]"
611,Mobile Covers,31,mobile covers style,"[('Mobile Phone Cases Look', 0.703), ('Cellphone Cases Design', 0.653), ('Cellular Phone Cases Fashion', 0.606), ('Smartphone Cases Style', 0.573)]"
612,"Passport Holders, Passport Holder",30,passport holders style,"[('Passport pouch', 0.71), ('Passport case', 0.69), ('Passport sleeve', 0.684), ('Passport wallet', 0.644)]"
613,Bar,30,bar style,"[('Tavern chic', 0.666), ('Pub look', 0.65), ('Saloon swagger', 0.626), ('Bistro flair', 0.526)]"
614,Dungaree Dress,29,dungaree dress style,"[('Bib dress', 0.591), ('Overalls dress', 0.518), ('Denim dress', 0.46), ('Jumpsuit dress', 0.458)]"
615,Skirt Sets,29,skirt sets style,"[('Skirt Suits', 0.725), ('Outfits', 0.574), ('Coordinates', 0.485), ('Ensembles', 0.404)]"
616,Miscellaneous,29,miscellaneous style,"[('Varied', 0.712), ('Diverse', 0.678), ('Assorted', 0.675), ('Eclectic', 0.662)]"
617,Burners,29,burners style,"[('Ignite-vogue', 0.69), ('Fire-look', 0.662), ('Flame-style', 0.625), ('Hot-trend', 0.565)]"
618,Appliance Covers,28,appliance covers style,[]
619,Upholstery,28,upholstery style,"[('Upholstery Fashion', 0.752), ('Furnishing Design', 0.565), ('Textile Design', 0.555), ('Soft Furnishings', 0.386)]"
620,Travel & Tourism,28,travel tourism style,"[('Tourist Fashion', 0.612), ('Voyage Wear', 0.583), ('Journey Apparel', 0.564), ('Expedition Clothing', 0.489)]"
621,BB & CC Cream,28,bb cc cream style,"[('BB CC Cosmetics Style', 0.77), ('BB CC Makeup Look', 0.744), ('BB CC Facial Design', 0.687), ('BB CC Beauty Regimen', 0.671)]"
622,Top & Shorts,28,top shorts style,[]
623,Nightie & Robe,27,nightie robe style,"[('Nightdress', 0.798), ('Chemise', 0.565), ('Negligee', 0.563), ('Peignoir', 0.505)]"
624,Tawas,27,tawas style,"[('Floaty', 0.588), ('Flowing', 0.522), ('Airy', 0.496), ('Breezy', 0.408)]"
625,Face Palettes,26,face palettes style,"[('Visage Palettes', 0.778), ('Facial Pigmentations', 0.706), ('Complexion Color Schemes', 0.673), ('Countenance Color Combinations', 0.652)]"
626,Snapbacks,26,snapbacks style,"[('Flat Brim Hats', 0.54), ('Visors', 0.537), ('Trucker Hats', 0.481), ('Fitted Caps', 0.476)]"
627,Brief Sets,26,brief sets style,"[('Abbreviated looks ', 0.795), ('Succinct sets ', 0.738), ('Compact collections ', 0.706), ('Concise ensembles ', 0.463)]"
628,Hair Masks,25,hair masks style,"[('Hairdos', 0.651), ('Hairdos', 0.651), ('Hairdos', 0.651), ('Coiffures', 0.515)]"
629,Garden Sculptures & Statues,25,garden sculptures statues style,"[('Decorative Statues', 0.58), ('Embellished Statuettes', 0.568), ('Ornamental Figurines', 0.541), ('Artistic Figurines', 0.45)]"
630,Headphones,25,headphones style,"[('Headset', 0.589)]"
631,Health & Fitness,25,health fitness style,"[('Wellness Fashion', 0.61), ('Healthful Garb', 0.459), ('Physique Apparel', 0.414), ('Exercise Clothing', 0.399)]"
632,Lounge T-shirts,25,lounge t shirts style,[]
633,Vest Sets,25,vest sets style,"[('Costume defines style', 0.645), ('Garb establishes fashion', 0.524), ('Apparel creates look', 0.518), ('Outfit sets trend', 0.489)]"
634,Shaving & Hair Removal,25,shaving hair removal style,"[('Grooming', 0.62), ('Trimming', 0.533), ('Clipping', 0.514), ('Pruning', 0.514)]"
635,Nose Ring,25,nose ring style,"[('Nasal jewelry', 0.711), ('Nostril adornment', 0.696), ('Snout decoration', 0.637), ('Facial ornamentation', 0.597)]"
636,Smart Footwear,24,smart footwear style,"[('Trendy Footwear', 0.737), ('Fashionable Footwear', 0.729), ('Stylish Footwear', 0.725), ('Chic Footwear', 0.659)]"
637,Forks,24,forks style,"[('Tines’, 0.638), ('Prongs’, 0.582), ('Pitchfork', 0.499)]"
638,"Bib & Collar, Bibs & Collars",24,bibs collars style,"[('Neck trimmings ', 0.574), ('Neck adornments ', 0.53), ('Necklines ', 0.489), ('Neckwear ', 0.487)]"
639,Kanakti,24,kanakti style,"[('Chic', 0.529), ('Flamboyant', 0.511), ('Extravagant', 0.437), ('Glamorous', 0.383)]"
640,Blocks,24,blocks style,"[('Patchwork', 0.525), ('Geometric Patterns', 0.507), ('Modular Design', 0.497), ('Cubist Design', 0.42)]"
641,Body Care Tools,23,body care tools style,"[('Grooming Apparatus', 0.647), ('Personal Care Items', 0.625), ('Styling Aids', 0.591), ('Beauty Accessories', 0.549)]"
642,Pyjama Sets,23,pyjama sets style,"[('Jammies', 0.56), ('Sleepwear', 0.491), ('Nightwear', 0.403), ('Loungewear', 0.38)]"
643,Dress Socks,23,dress socks style,"[('Legwear', 0.557), ('Footwear', 0.557), ('Hosiery', 0.463), ('Hose', 0.403)]"
644,Oxford Shoes,23,oxford shoes style,"[('Brogues', 0.592), ('Balmorals', 0.568), ('Derbies', 0.544), ('Wingtips', 0.344)]"
645,Tankinis,23,tankinis style,"[('Skirtini', 0.48), (‘Bikini top and shorts', 0.274), (‘Two-piece swimsuit', 0.256)]"
646,Drawstring Bags,23,drawstring bags style,"[('Drawstring Sack', 0.812), ('Drawstring Tote', 0.796), ('Drawstring Pouch', 0.788), ('Drawstring Purse', 0.763)]"
647,Reading Glasses,22,reading glasses style,"[('Eyeglasses', 0.585), ('Spectacles', 0.503), ('Oculists', 0.499), ('Goggles', 0.457)]"
648,Boleros,22,boleros style,"[('Spanish-style', 0.638), ('Latin-style', 0.607), ('Rumba-style', 0.489), ('Swing-style', 0.358)]"
649,Setting Spray,22,setting spray style,"[('Finishing Mist', 0.62), ('Fixative', 0.591), ('Hair Spray', 0.586), ('Hair Sealant', 0.533)]"
650,Foot Care Tools,22,foot care tools style,[]
651,Petti,21,petti style,[]
652,Double Breasted,21,double breasted style,"[('Two-buttoned ', 0.619), ('Broadcloth ', 0.518), ('Notch lapel ', 0.501), ('Peak lapel ', 0.466)]"
653,Slim Portfolio,21,slim portfolio style,"[('Minimalist aesthetic', 0.75), ('Trimmed-down design', 0.684), ('Slender silhouette', 0.673), ('Streamlined look', 0.522)]"
654,Sunscreen,20,sunscreen style,"[('Sun-blocking clothing', 0.673), ('Sun protection fashion', 0.652), ('Sun-protective wear', 0.647), ('Sun-shielding apparel', 0.618)]"
655,Comics & Mangas,20,comics mangas style,"[('Comic book-inspired garments', 0.713), ('Graphic novel-influenced clothing', 0.572), ('Anime-influenced apparel', 0.488), ('Cartoon-inspired fashion', 0.473)]"
656,Laptop Roller Cases,20,laptop roller cases style,"[('Laptop Tote Bags', 0.707), ('Laptop Suitcases', 0.689), ('Laptop Briefcases', 0.663), ('Laptop Backpacks', 0.635)]"
657,Full Length,19,full length style,"[('Extended', 0.647), ('Long', 0.625), ('Floor-length', 0.612), ('Maxi', 0.554)]"
658,Built-in,19,built in style,"[('Constructed fashion', 0.693), ('Customized style', 0.677), ('Fitted design', 0.619), ('Tailored look', 0.564)]"
659,Bracelet Rakhi,18,bracelet rakhi style,"[('Wristlet Rakhi Design', 0.75), ('Cuff Rakhi Design', 0.702), ('Bangle Rakhi Design', 0.688), ('Armlet Rakhi Design', 0.684)]"
660,Purses,18,purses style,"[('Shoulder Bags', 0.63), ('Handbags', 0.617)]"
661,Mittins,18,mittins style,"[('Gauntlet fashion', 0.614), ('Glovewear fashion', 0.461), ('Handwear fashion', 0.413), ('Wristwear fashion', 0.374)]"
662,Kalash Pot,18,kalash pot style,"[('Urn-shaped', 0.64), ('Jug-inspired', 0.601), ('Amphora-style', 0.592), ('Vase-like', 0.536)]"
663,Stick-on & Silicon,18,stick on silicon style,"[('Attach with silicon style', 0.862), ('Bond with silicon fashion', 0.833), ('Adhere with silicon look', 0.816), ('Fasten with silicon trend', 0.791)]"
664,Dhoti Pants,18,dhoti pants style,"[('Lungi trousers', 0.715), ('Indian-style trousers', 0.7), ('Sarong trousers', 0.688), ('Wraparound trousers', 0.672)]"
665,Plants & Saplings,18,plants saplings style,"[('Plant Prints', 0.654), ('Floral Fashions', 0.575), ('Leafy Looks', 0.556), ('Greenery Garments', 0.456)]"
666,Satchels,17,satchels style,"[('Bags ', 0.65), ('Holdalls ', 0.602), ('Carriers ', 0.556), ('Purses ', 0.549)]"
667,Other Watch Accessories,17,other watch accessories style,"[('Wristwatch embellishments ', 0.586), ('Clockwear decorations ', 0.565), ('Timepiece adornments ', 0.52), ('Chronometer trimmings ', 0.445)]"
668,Eye Care,17,eye care style,"[('Eyewear Style', 0.655), ('Optic Fashion', 0.598), ('Visual Wear', 0.588), ('Ocular Apparel', 0.557)]"
669,Wire,17,wire style,"[('Corded Look', 0.728), ('Twine Design', 0.613), ('Mesh Pattern', 0.589), ('Cable Knit', 0.574)]"
670,Cleaning Accessories,16,cleaning accessories style,"[('Sanitation Fashions', 0.687), ('Washing Gear', 0.681), ('Hygiene Outfits', 0.671), ('Grooming Apparel', 0.612)]"
671,Oil & Vinegar Dispensers,16,oil vinegar dispensers style,"[('Oil and Vinegar Bottles Look', 0.831), ('Condiment Container Chic', 0.57), ('Drizzler Outfit', 0.527), ('Cruet Set Style', 0.491)]"
672,Supplements,16,supplements style,"[('Additions', 0.585), ('Accoutrements', 0.57), ('Enhancements', 0.541), ('Extras', 0.527)]"
673,Three-Fourths,16,three fourths style,"[('Three-Quarter Sleeve', 0.789), ('Three Quarters Cut', 0.776), ('Three-Quarter Length', 0.753), ('Tri-Quarterly', 0.431)]"
674,Saree Shapewear,16,saree shapewear style,"[('Drape shapewear look', 0.729), ('Sarong shapewear silhouette', 0.673), ('Wrap shapewear design', 0.64), ('Skirt shapewear fashion', 0.627)]"
675,Roti & Bread Baskets,16,roti bread baskets style,"[('Bread Basket-Inspired Apparel', 0.774), ('Dough-Inspired Garments', 0.645), ('Doughnut-Shaped Outfits', 0.59), ('Basketweave-Style Clothing', 0.566)]"
676,Intimate Hygiene,16,intimate hygiene style,"[('Personalized fashion', 0.554), ('Tailored fashion', 0.497), ('Body-hugging fashion', 0.491), ('Close-fitting fashion', 0.458)]"
677,Beard Oil & Butter,15,beard oil butter style,"[('Mustache Wax', 0.663), ('Beard Balm', 0.619), ('Beard Conditioner', 0.567), ('Facial Hair Pomade', 0.495)]"
678,Nail Paint Remover,15,nail paint remover style,"[('Nail varnish remover', 0.876), ('Nail polish remover', 0.838), ('Nail enamel remover', 0.833), ('Nail lacquer remover', 0.829)]"
679,Toilet pouch,15,toilet pouch style,"[('Lavatory Satchel Look', 0.726), ('Restroom Clutch Design', 0.715), ('Lavatory Bag Design', 0.69), ('Commode Purse Style', 0.553)]"
680,Fashion Gloves,15,fashion gloves style,"[('Gauntlet Gloves', 0.669), (‘Gauntlets’, 0.525), ('Mittens', 0.467)]"
681,Religion & Spirituality,15,religion spirituality style,"[('Sacred Style', 0.617), ('Devout Dress', 0.484), ('Pious Panache', 0.453), ('Faithful Fashion', 0.363)]"
682,"Body Polish & Scrubs, Body Polish  & Scrubs",15,body polish scrubs style,"[('Bodysuit Scrubs Look', 0.642), ('Body Smoothing Outfit', 0.627), ('Body Buffing Fashion', 0.626), ('Body Exfoliation Style', 0.602)]"
683,Baking Dish,15,baking dish style,"[('Tailoring', 0.414), ('Cut', 0.384), ('Design', 0.367), ('Silhouette', 0.313)]"
684,Mom,15,mom style,"[('Motherly Vibe', 0.684), ('Maternal Look', 0.678), ('Mommy Fashion', 0.674), ('Matronly Chic', 0.602)]"
685,Bath Fizzies & Salts,14,bath fizzies salts style,"[('Bath Salts Style', 0.809), ('Bath Soaks Style', 0.716), ('Bath Bubbles Style', 0.707), ('Bath Crystals Style', 0.691)]"
686,Maximizer,14,maximizer style,"[('Maximizing Look', 0.769), ('Enhancing Style', 0.734), ('Amplifying Outfit', 0.641), ('Intensifying Fashion', 0.442)]"
687,Laptop & Notebook Sleeves,14,laptop notebook sleeves style,"[('Laptop Notebook Sheaths Style', 0.821), ('Laptop Notebook Jackets Look', 0.813), ('Laptop Notebook Wraps Design', 0.79), ('Laptop Notebook Coverings Fashion', 0.77)]"
688,Camisole & Panty,14,camisole panty style,"[('Camisole Pantaloons', 0.726), ('Camisole Undies', 0.653), ('Camisole Bloomers', 0.612), ('Camisole Knickerbockers', 0.553)]"
689,"Nail Accessories, Nail accessories",14,nail accessories style,"[('Nail Art Wear', 0.819), ('Nail Decoration Fashions', 0.811), ('Nail Ornamentation', 0.808), ('Manicure Apparel', 0.656)]"
690,Earpods,14,earpods style,"[('In-ear-style garments', 0.621), ('Earbud-inspired apparel', 0.532), ('Earphone-influenced clothing', 0.492), ('Headphone-inspired fashion', 0.487)]"
691,Hooks & Rods,13,hooks rods style,"[('Clips, Rods, Look', 0.691), ('Clasps, Rails, Trend', 0.578), ('Fasteners, Bars, Mode', 0.551), ('Hangers, Lines, Design', 0.533)]"
692,Bodies,13,bodies style,"[('Cuts', 0.668), ('Forms', 0.596), ('Shapes', 0.553), ('Silhouettes', 0.537)]"
693,Mugs & Maison Jars,13,mugs maison jars style,"[('Houseware Crockery', 0.64), ('Home-Style Mugs', 0.611), ('Domestic Pottery', 0.544), ('Homely Jars', 0.516)]"
694,Pendant Necklace,13,pendant necklace style,"[('Y-Necklace', 0.73), ('Collar', 0.599), ('Choker', 0.564), ('Lariat', 0.554)]"
695,Ear Muffs,13,ear muffs style,"[('Earmuffs', 0.795), ('Earflaps', 0.728), ('Earwarmers', 0.706)]"
696,Sanitary Napkins,13,sanitary napkins style,"[('Incontinence Pads', 0.596), ('Panty Liners', 0.581), ('Disposable Underwear', 0.514), ('Feminine Hygiene Pads', 0.514)]"
697,Drop Waist,13,drop waist style,"[('Empire waist', 0.575), ('High-waisted', 0.531), ('Basque waist', 0.525), ('Natural waist', 0.473)]"
698,Bracelets & Wristbands,13,bracelets wristbands style,[]
699,"Brackets, Rods, Hooks",13,brackets rods hooks style,[]
700,Kurta Sets,12,kurta sets style,"[('Kurta Combination', 0.715), ('Kurta Ensemble', 0.686), ('Kurta Suiting', 0.671), ('Kurta Outfit', 0.649)]"
701,Mary Janes,12,mary janes style,"[('Mary Janes Style', 0.838), ('Mary Janes Look', 0.822), ('Mary Janes Design', 0.813), ('Mary Janes Cut', 0.787)]"
702,Strainers & Colanders,12,strainers colanders style,"[('Sifters, strainers, and colanders', 0.664), ('Strainers, filters, and colanders', 0.651), ('Mesh, strainers, and colanders', 0.646), ('Mesh, sieves, and strainers', 0.525)]"
703,False Lashes,12,false lashes style,"[('Fake lashes look', 0.82), ('Faux lashes look', 0.767), ('Artificial lashes look', 0.723), ('Imitation lashes look', 0.627)]"
704,Jhablas,12,jhablas style,"[('Trend', 0.578), ('Look', 0.526), ('Mode', 0.521), ('Design', 0.51)]"
705,Rollers & Curlers,12,rollers curlers style,"[('Twists', 0.59), ('Curls', 0.543), ('Crimps', 0.535), ('Waves', 0.378)]"
706,Bakeware Sets,12,bakeware sets style,"[('Clothing Coordinates', 0.429), ('Outfit Combinations', 0.425), ('Garment Groupings', 0.409), ('Apparel Ensembles', 0.356)]"
707,Bell,12,bell style,[]
708,Dairies & Notebooks,11,dairies notebooks style,"[('Diaries', 0.632), ('Journals', 0.618), ('Ledgers', 0.547), ('Logbooks', 0.486)]"
709,Kitchen Scissors,11,kitchen scissors style,"[('Culinary Couture', 0.567), ('Cookery Chic', 0.551), ('Cuisine Class', 0.543), ('Gourmet Glamour', 0.415)]"
710,Shower Cream,11,shower cream style,"[('Designer duds', 0.54), ('Fashionista flair', 0.384), ('Catwalk couture', 0.331), ('Runway ready', 0.134)]"
711,Roll-on,11,roll on style,"[('Flaunt', 0.695), ('Strut', 0.549), ('Promenade', 0.5), ('Parade', 0.412)]"
712,Barrel Bags,10,barrel bags style,"[('Barrel-shaped purses', 0.68), ('Keg-shaped totes', 0.61), ('Drum-style satchels', 0.571), ('Cask-style handbags', 0.522)]"
713,Sanitiser,10,sanitiser style,"[('Sterile Look', 0.516), ('Clean Cut', 0.399), ('Crisp Design', 0.357), ('Neat Appearance', 0.336)]"
714,Mobile Sleeves,10,mobile sleeves style,"[('Phone Jackets ', 0.607), ('Phone Covers ', 0.59), ('Cellphone Cases ', 0.575), ('Phone Wraps ', 0.544)]"
715,Singlets,10,singlets style,[]
716,Stationary Organisers,10,stationary organisers style,"[('Stationary Organizers Design', 0.873), ('Stationary Organizers Style', 0.87), ('Stationary Organizers Aesthetic', 0.865), ('Stationary Organizers Look', 0.858)]"
717,Top & Capris,10,top capris style,[]
718,Cheekinis,10,cheekinis style,"[('Cheeky Swimwear', 0.401), ('Brazilian Bikinis', 0.232), ('High-Cut Swimsuits', 0.203)]"
719,Talcum Powder,10,talcum powder style,"[('Loose Powder Style', 0.656), ('Dusting Powder Style', 0.652), ('Puff Powder Style', 0.63), ('Baby Powder Style', 0.598)]"
720,Overnighters,9,overnighters style,"[('Pajamas', 0.474), ('Sleepwear', 0.473), ('Nightwear', 0.461), ('Loungewear', 0.441)]"
721,Sweatshirt & Track Pants,9,sweatshirt track pants style,"[('Sweatshirt Trousers Outfit', 0.728), ('Hoodie Joggers Look', 0.657), ('Sweatpants Ensemble', 0.63)]"
722,Graters,9,graters style,"[('Rasped Look', 0.774), ('Shredded Style', 0.774), ('Grated Design', 0.754), ('Scraped Appearance', 0.675)]"
723,Literature & Fiction,9,literature fiction style,"[('Fictional Fashion', 0.581), ('Literary Clothing', 0.531), ('Storytelling Garments', 0.409), ('Narrative Apparel', 0.365)]"
724,Foot Care,9,foot care style,"[('Shoe styling', 0.674), ('Footwear fashion', 0.655), ('Footwear styling', 0.64), ('Footwear trends', 0.615)]"
725,Track Jacket,9,track jacket style,"[('Varsity Jacket', 0.528), ('Bomber Jacket', 0.506), ('Windbreaker', 0.458), ('Flight Jacket', 0.423)]"
726,Hand Care Tools,8,hand care tools style,[]
727,Loop,8,loop style,"[('Circular Style', 0.669), ('Swirl Style', 0.642), ('Coil Style', 0.627), ('Twirl Style', 0.566)]"
728,Personal Development,8,personal development style,"[('Personalized Look', 0.683), ('Self-Expression Mode', 0.623), ('Individualistic Style', 0.615), ('Unique Aesthetic', 0.531)]"
729,Other Accessories,8,other accessories style,[]
730,Rollerball,7,rollerball style,"[('Orbicular Style', 0.539), ('Circular Style', 0.499), ('Spherical Style', 0.499), ('Ballpoint Style', 0.491)]"
731,Polishes & Creams,7,polishes creams style,"[('Refines cosmetics look', 0.652), ('Perfects beauty products style', 0.544), ('Grooms beauty products fashion', 0.524), ('Enhances beauty products design', 0.519)]"
732,Waterfall,7,waterfall style,"[('Cascade', 0.717), ('Drape', 0.561), ('Flowing', 0.539), ('Sheer', 0.453)]"
733,Biker Jackets,7,biker jackets style,"[('Biker coats look', 0.76), ('Motorcycle jackets fashion', 0.729), ('Motorcycle coats trend', 0.723), ('Motorbike coats style', 0.656)]"
734,Business & Economics,7,business economics style,"[('Corporate Chic', 0.546), ('Office Wear', 0.377), ('Professional Attire', 0.289), ('Formal Fashion', 0.271)]"
735,Cami/Bramisole,7,cami bramisole style,"[('Spaghetti Strap Top', 0.484), ('Tank Top', 0.441), ('Camisole Top', 0.411), ('Strappy Top', 0.378)]"
736,Bomber Jackets,7,bomber jackets style,"[('Flight jackets', 0.584), ('Aviator jackets', 0.577), ('Military jackets', 0.555), ('MA-1 jackets', 0.458)]"
737,Bloomers,7,bloomers style,"[('Pantaloons', 0.621), ('Culottes', 0.607), ('Split Skirts', 0.585), ('Knickers', 0.504)]"
738,Woks,7,woks style,"[('Eclectic', 0.584), ('Oriental-inspired', 0.579), ('East-meets-West', 0.529), ('Fusion', 0.506)]"
739,Watch Case,7,watch case style,"[('Timepiece housing', 0.641), ('Wristwatch casing', 0.607), ('Timekeeper container', 0.595), ('Chronometer shell', 0.586)]"
740,Hair Spray,7,hair spray style,"[('Spritz Style', 0.618), ('Hairspray Coiffure', 0.616), ('Mist Mane', 0.555), ('Aerosol Do', 0.485)]"
741,Kurti Sets,7,kurti sets style,"[('Kurta Combination', 0.729), ('Kurta Ensemble', 0.685), ('Kurta Suiting', 0.671), ('Kurta Outfit', 0.646)]"
742,Lehenga Sets,6,lehenga sets style,"[('Lehenga Combos', 0.732), ('Lehenga Suits', 0.726), ('Lehenga Ensembles', 0.681), ('Lehenga Outfits', 0.675)]"
743,Balconette,6,balconette style,"[('Plunge', 0.619), ('Half-bra', 0.57), ('Demi-cup', 0.564), ('Shelf-bra', 0.458)]"
744,Beauty & Grooming,6,beauty grooming style,"[('Allure Grooming Look', 0.75), ('Charm Styling Vogue', 0.678), ('Splendor Coiffure Mode', 0.595), ('Attractiveness Preparation Fashion', 0.577)]"
745,"High-Top, High-tops",6,high top style,"[('High-cut fashion', 0.747), ('High-rise style', 0.74), ('Elevated look', 0.68), ('Tall silhouette', 0.534)]"
746,Pencil Sharpeners,6,pencil sharpeners style,[]
747,Sindoor,6,sindoor style,"[('Vermillion Look', 0.713), ('Scarlet Style', 0.554), ('Crimson Fashion', 0.532), ('Maroon Outfit', 0.522)]"
748,Shirt & Lounge Pants,6,shirt lounge pants style,"[('Top and Trousers Ensemble', 0.702)]"
749,Extensions,6,extensions style,"[('Variations', 0.747), ('Modifications', 0.712), ('Adaptations', 0.687), ('Transformations', 0.622)]"
750,Bi-fold wallets,6,bi fold wallets style,"[('Double-Fold Wallets', 0.671), ('Bifold Purses', 0.604), ('Accordion Wallets', 0.563), ('Accordion Clutches', 0.411)]"
751,Sun-Block Gloves,6,sun block gloves style,"[('Sun-blocking mitts ', 0.777), ('Sun-shielding gloves ', 0.738), ('Sun protection mittens ', 0.716), ('Sunscreen handwear ', 0.636)]"
752,Sofa Fabric,6,sofa fabric style,"[('Couch textile pattern', 0.729), ('Settee cloth design', 0.602), ('Lounge upholstery style', 0.57), ('Divan material fashion', 0.536)]"
753,Incense Sticks,6,incense sticks style,"[('Scented sticks', 0.659), ('Aromatic wands', 0.653), ('Perfumed rods', 0.635), ('Fragrant rods', 0.561)]"
754,Beard Wash,6,beard wash style,"[('Mustache Maintenance', 0.7), ('Beard Care', 0.7), ('Stubble Styling', 0.686), ('Facial Hair Grooming', 0.584)]"
755,Mist,6,mist style,[]
756,Lotion,6,lotion style,[]
757,Butter Knives,6,butter knives style,"[('Table-knife-style', 0.654), ('Carving-knife-style', 0.613), ('Spatula-style', 0.475), ('Spreader-style', 0.366)]"
758,Slips,6,slips style,[]
759,Sherwanis,5,sherwanis style,"[('Achkan', 0.699), ('Bandhgala', 0.687), ('Jodhpuri', 0.655), ('Kurta-Pyjama', 0.379)]"
760,Face Oil,5,face oil style,"[('Face Grease Fashion', 0.681), ('Facial Lubrication Look', 0.612), ('Facial Moisturizing Style', 0.565), ('Facial Sheen Style', 0.562)]"
761,Hair Gel,5,hair gel style,"[('Hair Styling', 0.696), ('Hair Moulding', 0.664), ('Hair Setting', 0.649), ('Coiffure', 0.528)]"
762,Pouches and Boxes,5,pouches and boxes style,"[('Pouches and Boxes Design', 0.783), ('Pouches and Cases Style', 0.76), ('Pouches and Containers Look', 0.758), ('Pouches and Boxes Trend', 0.741)]"
763,Inserts & Insoles,5,inserts insoles style,"[('Inserts Footbeds', 0.438), ('Inserts Footgear', 0.411), ('Inserts Footwear', 0.4), ('Inserts Shoes', 0.386)]"
764,Eyelash Curlers,5,eyelash curlers style,"[('Lash Pinchers ', 0.681), ('Lash Crimpers ', 0.679), ('Lash Rollers ', 0.571), ('Lash Winders ', 0.554)]"
765,Peelers,5,peelers style,[]
766,Tweezers,5,tweezers style,"[('Pincers ', 0.712), ('Clamps ', 0.675), ('Pliers ', 0.661), ('Grips ', 0.617)]"
767,Night Cream,5,night cream style,"[('Dark-Hour Dress', 0.648), ('Nighttime Outfit', 0.617), ('Nocturnal Apparel', 0.573), ('Eveningwear', 0.525)]"
768,Stands & Holders,5,stands holders style,[]
769,Laptop Sleeves & Accessories,5,laptop sleeves accessories style,"[('Laptop Coverings Apparel Design', 0.752), ('Portable Computer Bags Outfit', 0.719), ('Computer Cases Clothing Look', 0.709), ('Notebook Sheaths Fashion Style', 0.619)]"
770,Bust Shaper,5,bust shaper style,"[('Contouring cut', 0.473), ('Body-sculpting shape', 0.419), ('Figure-hugging silhouette', 0.367), ('Waist-cinching design', 0.339)]"
771,Dungaree Shorts,5,dungaree shorts style,[]
772,Babydoll & Robe,5,babydoll robe style,[]
773,Face Pack,5,face pack style,"[('Facial Mask', 0.631)]"
774,Vest & Brief Sets,5,vest brief sets style,"[('Apparel groupings ', 0.566), ('Outfit combinations ', 0.562), ('Garment ensembles ', 0.521), ('Costume arrangements ', 0.512)]"
775,Kimono,5,kimono style,"[('Kimono-inspired', 0.733), ('Obi-sash', 0.654), ('Obi-style', 0.61), ('Obi-belt', 0.547)]"
776,Shutters & Blinds,4,shutters blinds style,"[('Venetian Blinds', 0.683), ('Panel Tracks', 0.554), ('Roller Shades', 0.475), ('Roman Shades', 0.422)]"
777,Trekking,4,trekking style,"[('Trailblazing', 0.665), ('Backpacking', 0.623), ('Hiking', 0.552), ('Mountaineering', 0.525)]"
778,Lip Primer,4,lip primer style,"[('Lip Prep', 0.789), ('Lip Base Coat', 0.777), ('Lip Priming', 0.775)]"
779,Brushes & Shiners,4,brushes shiners style,"[('Strokes glossers look', 0.758), ('Fluffs polishers fashion', 0.753), ('Combs coiffers design', 0.645), ('Scrubs brighteners trend', 0.62)]"
780,Bath Tools & Accessories,4,bath tools accessories style,"[('Toiletry Fashions', 0.755), ('Bathroom Gear', 0.677), ('Lavatory Apparel', 0.64), ('Hygiene Attire', 0.599)]"
